titre,cineaste,casting,date_sortie,duree_minutes,nationalites,synopsis,status,categories,thematiques,affiche_image,dossier_presse,affiche_photos,bande_annonce_fichier,bande_annonce_url,slug
La Fermière De Montfaucon,Eric Rohmer,,,13,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-la-fermiere-de-montfaucon.jpg,,,,,la-fermiere-de-montfaucon.html
La Collectionneuse,Eric Rohmer,"Haydée Politoff, Patrick Bauchau, Daniel Pommereulle, Seymour Hertzberg",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-la-collectionneuse.jpg,,,,,la-collectionneuse.html
Paris Vu Par…,Claude Chabrol,"Stéphane Audran, Barbara Wilkind, Johanna Shimkusk, Micheline Dax, Jean-Michel Rouzière, Nadine Ballot",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-paris-vu-par.jpg,,,,,paris-vu-par.html
La Boulangère De Monceau,Eric Rohmer,"Barbet Shroeder, Fred Junk, Michèle Girardon, Bertrand Tavernier",,26,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-la-boulangere-de-monceau.jpg,,,,,la-boulangere-de-monceau.html
La Carrière De Suzanne,Eric Rohmer,"Philippe Beuze, Jean-Claude Biette, Patrick Bauchau, Diane Wilkinson",,52,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-la-carriere-de-suzanne-773x1030.jpg,,,,,la-carriere-de-suzanne.html
Le Signe Du Lion,Eric Rohmer,"Jess Hahn, Van Doude, Michèle Girardon, Jean Le Poulain",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-le-signe-du-lion.jpg,,,,,le-signe-du-lion.html
Véronique Et Son Cancre,Eric Rohmer,"Nicole Berger, Stella Dassas, Alain Delrieu",,20,,"Nicole Berger, Stella Dassas, Alain Delrieu,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-veronique-et-son-cancre.jpg,,,,,veronique-et-son-cancre.html
Nina et le secret du Hérisson,Alain Gagnol,"Audrey Tautou, Guillaume Canet",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/01/Sans-titre-2.jpg,,,,,nina-et-le-secret-du-herisson.html
A Short story,BI GAN,,,,,"TAN Zhuo, CHENG Yongzhong",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/05/mea-tourment.jpg,,,,,a-short-story.html
Fabian,Dominik Graf,"Tom Schilling, Albrecht Schuch, Saskia Rosendahl",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/02/mae-poster.jpg,,,,,fabian.html
LA RIVIERE,Ghassan Salhab,,,,,Ali Suliman – Yumna Marwan,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/06/MAE-Site.jpg,,,,,la-riviere.html
GARÇON CHIFFON,Nicolas Maury,"Nicolas Maury, Nathalie Baye, Arnaud Valois, Théo Christine, Laure Calamy",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2020/02/mea-garconchiffon.jpg,,,,,garcon-chiffon.html
MERVEILLES A MONTFERMEIL,Jeanne Balibar,"Jeanne, Ramzy, Emmanuelle, Mathieu, Bulle, Florence, Philippe, Valérie, Anthony",,,,"Jeanne BALIBAR, Ramzy BEDIA, Emmanuelle BEART, Mathieu AMALRIC, Bulle OGIER, Florence LOIRET-CAILLE, Philippe KATERINE, Valérie DREVILLE, Anthony BAJON",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/11/merveillesamontfermeil_small.jpg,,,,,merveilles-a-montfermeil.html
